web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,price,delivery_time,battery,seller,seller_rating,Color,ram,rom,warranty,overall_rating,camera_rating,battery_rating,display_rating,value_for_money_rating,product_review_link,product_review_link-href
"1546972221-453","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=1","ON OFFERAdd to CompareApple iPhone 8 Plus (Silver, 64 GB)4.62,850 Ratings & 322 Reviews64 GB ROM |13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year₹68,999₹77,56011% offUp to ₹14,900 Off on ExchangeEMI starting from ₹2292/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/apple-iphone-8-plus-silver-64-gb/p/itmexrgv7yfjbryy?pid=MOBEXRGVQGYYP8FV&srno=b_1_19&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBEXRGVQGYYP8FVDQUZL8&fm=organic&iid=649d8ca2-0709-4f16-b819-82ece78b104f.MOBEXRGVQGYYP8FV.SEARCH","Apple iPhone 8 Plus (Silver, 64 GB)","₹68,999","2 Days, Friday","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor","SuperComNet","4.5","Silver","null","64 GB","Brand Warranty of 1 Year","4.6","4.8","4.3","4.3","4.2","All 322 reviews","https://www.flipkart.com/apple-iphone-8-plus-silver-64-gb/product-reviews/itmexrgv7yfjbryy?pid=MOBEXRGVQGYYP8FV"
"1546972204-450","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=1","Add to CompareApple iPhone XR ((PRODUCT)RED, 64 GB)4.6173 Ratings & 25 Reviews64 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year₹76,900Up to ₹14,900 Off on ExchangeEMI starting from ₹2555/monthOffersNo Cost EMI","https://www.flipkart.com/apple-iphone-xr-product-red-64-gb/p/itmf9z7zhydhtbn5?pid=MOBF9Z7ZRWGTX3FA&srno=b_1_22&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBF9Z7ZRWGTX3FAWC8NB0&fm=organic&iid=a791c9b2-a519-4939-bfb5-bf399875bbc9.MOBF9Z7ZRWGTX3FA.SEARCH","Apple iPhone XR ((PRODUCT)RED, 64 GB)","₹76,900","6-7 days","A12 Bionic Chip Processor","SuperComNet","4.5","(PRODUCT)RED","null","64 GB","Brand Warranty of 1 Year","4.6","null","null","null","null","All 25 reviews","https://www.flipkart.com/apple-iphone-xr-product-red-64-gb/product-reviews/itmf9z7zhydhtbn5?pid=MOBF9Z7ZRWGTX3FA"
"1546972059-430","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=2","Add to CompareApple iPhone 8 Plus (PRODUCT)RED (Red, 64 GB)4.6104 Ratings & 11 Reviews64 GB ROM |13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year₹69,990EMI starting from ₹2325/month","https://www.flipkart.com/apple-iphone-8-plus-product-red-red-64-gb/p/itmf46h3hjj5wkbb?pid=MOBF46H3V2HBHY48&srno=b_2_42&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBF46H3V2HBHY48YFAAO2&fm=organic&iid=6e8a9e81-05dc-46c7-89be-12c0fb5a92fa.MOBF46H3V2HBHY48.SEARCH","Apple iPhone 8 Plus (PRODUCT)RED (Red, 64 GB)","₹69,990","15 Jan, Tuesday","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor","CreativeDealSLP","4.7","Red","null","64 GB","Brand Warranty of 1 Year","4.6","null","null","null","null","All 11 reviews","https://www.flipkart.com/apple-iphone-8-plus-product-red-red-64-gb/product-reviews/itmf46h3hjj5wkbb?pid=MOBF46H3V2HBHY48"
"1546972108-436","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=2","Add to CompareApple iPhone XR (White, 64 GB)4.6173 Ratings & 25 Reviews64 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year₹76,900Up to ₹14,900 Off on ExchangeEMI starting from ₹2555/monthOffersNo Cost EMI","https://www.flipkart.com/apple-iphone-xr-white-64-gb/p/itmf9z7zhgzkmgm3?pid=MOBF9Z7ZUYC2EYQD&srno=b_2_36&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBF9Z7ZUYC2EYQDVYJTIC&fm=organic&iid=a7bf62d1-647a-49c4-94ef-a0d6c76cfa82.MOBF9Z7ZUYC2EYQD.SEARCH","Apple iPhone XR (White, 64 GB)","₹76,900","6-7 days","A12 Bionic Chip Processor","SuperComNet","4.5","White","null","64 GB","Brand Warranty of 1 Year","4.6","null","null","null","null","All 25 reviews","https://www.flipkart.com/apple-iphone-xr-white-64-gb/product-reviews/itmf9z7zhgzkmgm3?pid=MOBF9Z7ZUYC2EYQD"
"1546972171-446","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=2","Add to CompareApple iPhone XR (Coral, 64 GB)4.6173 Ratings & 25 Reviews64 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year₹76,900Up to ₹14,900 Off on ExchangeEMI starting from ₹2555/monthOffersNo Cost EMI","https://www.flipkart.com/apple-iphone-xr-coral-64-gb/p/itmf9z7zqzzt7bmv?pid=MOBF9Z7ZAFUMF6AG&srno=b_2_26&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBF9Z7ZAFUMF6AG57HRQS&fm=organic&iid=5ea50ba6-c08f-484f-84c2-6e680d2c7f21.MOBF9Z7ZAFUMF6AG.SEARCH","Apple iPhone XR (Coral, 64 GB)","₹76,900","11 Jan, Friday","A12 Bionic Chip Processor","SuperComNet","4.5","Coral","null","64 GB","Brand Warranty of 1 Year","4.6","null","null","null","null","All 25 reviews","https://www.flipkart.com/apple-iphone-xr-coral-64-gb/product-reviews/itmf9z7zqzzt7bmv?pid=MOBF9Z7ZAFUMF6AG"
"1546972215-452","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=1","Add to CompareApple iPhone XS (Silver, 64 GB)4.6525 Ratings & 77 Reviews64 GB ROM |14.73 cm (5.8 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA12 Bionic Chip Processor1 Year Limited Warranty for Products and Accessories₹99,900Up to ₹14,900 Off on ExchangeEMI starting from ₹3319/monthOffersNo Cost EMI","https://www.flipkart.com/apple-iphone-xs-silver-64-gb/p/itmf944ecjfgcg6h?pid=MOBF944E3AAPWGHC&srno=b_1_20&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBF944E3AAPWGHCOAU0I7&fm=organic&iid=e3c108a7-e39a-4ff6-9615-7556fe8cdd73.MOBF944E3AAPWGHC.SEARCH","Apple iPhone XS (Silver, 64 GB)","₹99,900","Tomorrow, Thursday","A12 Bionic Chip Processor","SuperComNet","4.5","Silver","null","64 GB","1 Year Limited Warranty for Products and Accessories","4.6","null","null","null","null","All 77 reviews","https://www.flipkart.com/apple-iphone-xs-silver-64-gb/product-reviews/itmf944ecjfgcg6h?pid=MOBF944E3AAPWGHC"
"1546972101-435","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=2","Add to CompareApple iPhone XS Max (Silver, 64 GB)4.7843 Ratings & 118 Reviews64 GB ROM |16.51 cm (6.5 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA12 Bionic Chip Processor1 Year Limited Warranty for Products and Accessories₹1,09,900Up to ₹14,900 Off on ExchangeEMI starting from ₹3651/monthOffersNo Cost EMI","https://www.flipkart.com/apple-iphone-xs-max-silver-64-gb/p/itmf944ehzsh7emx?pid=MOBF944E2XAHW8V5&srno=b_2_37&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBF944E2XAHW8V5WEPOM1&fm=organic&iid=459f889c-b12d-4151-bf75-9caa5b33b7de.MOBF944E2XAHW8V5.SEARCH","Apple iPhone XS Max (Silver, 64 GB)","₹1,09,900","2 Days, Thursday","A12 Bionic Chip Processor","SuperComNet","4.5","Silver","null","64 GB","1 Year Limited Warranty for Products and Accessories","4.7","4.4","3.4","4.8","3.7","All 118 reviews","https://www.flipkart.com/apple-iphone-xs-max-silver-64-gb/product-reviews/itmf944ehzsh7emx?pid=MOBF944E2XAHW8V5"
"1546972141-441","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=2","Add to CompareApple iPhone 7 Plus (Rose Gold, 128 GB)4.6736 Ratings & 118 Reviews128 GB ROM |13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year₹62,500EMI starting from ₹2076/month","https://www.flipkart.com/apple-iphone-7-plus-rose-gold-128-gb/p/itmen6dahgfdzted?pid=MOBEMK62VS979XYM&srno=b_2_31&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBEMK62VS979XYM14MNIF&fm=organic&iid=371fbf34-0c03-4a85-b509-c9d3bc4eb815.MOBEMK62VS979XYM.SEARCH","Apple iPhone 7 Plus (Rose Gold, 128 GB)","₹62,500","6-7 days","Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor","eClassicOnlineStore","2.5","Rose Gold","null","128 GB","Brand Warranty of 1 Year","4.6","null","null","null","null","All 118 reviews","https://www.flipkart.com/apple-iphone-7-plus-rose-gold-128-gb/product-reviews/itmen6dahgfdzted?pid=MOBEMK62VS979XYM"
"1546972264-463","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=1","ON OFFERAdd to CompareApple iPhone 6s Plus (Space Grey, 32 GB)4.53,369 Ratings & 438 Reviews32 GB ROM |13.97 cm (5.5 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year₹33,999₹34,9002% offUp to ₹14,900 Off on ExchangeEMI starting from ₹1130/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/apple-iphone-6s-plus-space-grey-32-gb/p/itmen2yyjnqsjcrw?pid=MOBEN2YYPGFCZYHT&srno=b_1_9&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBEN2YYPGFCZYHTIC5F1I&fm=organic&iid=fa1623fd-d07d-48f2-9d22-95166053aa7b.MOBEN2YYPGFCZYHT.SEARCH","Apple iPhone 6s Plus (Space Grey, 32 GB)","₹33,999","Tomorrow, Thursday","Apple A9 64-bit processor and Embedded M9 Motion Co-processor","SuperComNet","4.5","Space Grey","null","32 GB","Brand Warranty of 1 Year","4.5","3.5","3.7","4.6","4.3","All 438 reviews","https://www.flipkart.com/apple-iphone-6s-plus-space-grey-32-gb/product-reviews/itmen2yyjnqsjcrw?pid=MOBEN2YYPGFCZYHT"
"1546972239-457","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=1","ON OFFERAdd to CompareApple iPhone 6s Plus (Silver, 32 GB)4.41,139 Ratings & 141 Reviews32 GB ROM |13.97 cm (5.5 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year₹33,999₹34,9002% offUp to ₹14,900 Off on ExchangeEMI starting from ₹1130/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/apple-iphone-6s-plus-silver-32-gb/p/itmen2yyfzgggn6j?pid=MOBEN2YY7FHXEPQH&srno=b_1_15&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBEN2YY7FHXEPQHXFLPL4&fm=organic&iid=4e5a9447-dbd3-4360-a15a-54f7a7833107.MOBEN2YY7FHXEPQH.SEARCH","Apple iPhone 6s Plus (Silver, 32 GB)","₹33,999","Tomorrow, Thursday","Apple A9 64-bit processor and Embedded M9 Motion Co-processor","SuperComNet","4.5","Silver","null","32 GB","Brand Warranty of 1 Year","4.4","null","null","null","null","All 141 reviews","https://www.flipkart.com/apple-iphone-6s-plus-silver-32-gb/product-reviews/itmen2yyfzgggn6j?pid=MOBEN2YY7FHXEPQH"
"1546972018-422","https://www.flipkart.com/mobiles/pr?sid=tyy%2F4io&p%5B%5D=facets.brand%255B%255D%3DApple&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&fm=neo%2Fmerchandising&iid=M_3180f93f-7d97-4611-b970-9d22f1fab11a_1.90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&ppt=Homepage&ppn=Homepage&page=3","Add to CompareApple iPhone XS Max (Silver, 512 GB)4.7843 Ratings & 118 Reviews512 GB ROM |16.51 cm (6.5 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA12 Bionic Chip Processor1 Year Limited Warranty for Products and Accessories₹1,42,500EMI starting from ₹4734/month","https://www.flipkart.com/apple-iphone-xs-max-silver-512-gb/p/itmf944eb6mavqhf?pid=MOBF944EZ2CUVGPH&srno=b_3_50&otracker=clp_metro_expandable_1_1.metroExpandable.METRO_EXPANDABLE_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite&lid=LSTMOBF944EZ2CUVGPHNSN1PI&fm=organic&iid=4557840e-7628-4b56-8f5d-ab867aa8fd69.MOBF944EZ2CUVGPH.SEARCH","Apple iPhone XS Max (Silver, 512 GB)","₹1,42,500","6-7 days","A12 Bionic Chip Processor","TimeWorld","2.7","Silver","null","512 GB","1 Year Limited Warranty for Products and Accessories","4.7","4.4","3.4","4.8","3.7","All 118 reviews","https://www.flipkart.com/apple-iphone-xs-max-silver-512-gb/product-reviews/itmf944eb6mavqhf?pid=MOBF944EZ2CUVGPH"
