,product_link-href,name,price,delivery_time,battery,seller,seller_rating,Color,ram,rom,warranty,overall_rating,camera_rating,battery_rating,display_rating,value_for_money_rating,review_link,brand,no._of_reviews,positive_reviews_score,negative_reviews_score,total_reviews_score
168,https://www.flipkart.com/samsung-galaxy-j3-pro-gold-16-gb/p/itmeu35jfryetgew?pid=MOBEU35JAZKVWRPV&srno=b_3_70&otracker=browse&lid=LSTMOBEU35JAZKVWRPVUXDI0L&fm=organic&iid=89b73cae-a7c0-4775-9a8f-139e9d35465a.MOBEU35JAZKVWRPV.SEARCH,"Samsung Galaxy J3 Pro (Gold, 16 GB)  (2 GB RAM)","?8,490","11 Jan, Friday",2600 Battery,TrueComRetail,4.6,Gold,2 GB,16 GB,Brand Warranty of 1 Year,4.2,3.7,3.1,4.6,4.7,https://www.flipkart.com/samsung-galaxy-j3-pro-gold-16-gb/product-reviews/itmeu35jfryetgew?pid=MOBEU35JAZKVWRPV,samsung,18485,840,160,680
169,https://www.flipkart.com/samsung-galaxy-pocket-neo-metallic-silver-4-gb/p/itmeuyd7nawwev6u?pid=MOBDHRHZYUHK7GFN&srno=b_10_235&otracker=browse&lid=LSTMOBDHRHZYUHK7GFNXNLAZG&fm=organic&iid=dcbe34b8-e2a7-411c-8a8c-60828b41512a.MOBDHRHZYUHK7GFN.SEARCH,"Samsung Galaxy Pocket Neo (Metallic Silver, 4 GB)  (512 MB RAM)","?7,473",null,1200 Battery,null,null,Metallic Silver,512 MB,4 GB,1 Year for Mobile & 6 Months for Accessories,3.8,null,null,null,null,https://www.flipkart.com/samsung-galaxy-pocket-neo-metallic-silver-4-gb/product-reviews/itmeuyd7nawwev6u?pid=MOBDHRHZYUHK7GFN,samsung,227,990,10,980
170,https://www.flipkart.com/samsung-galaxy-s4-zoom-white-8-gb/p/itmeuyd89g9ycxzg?pid=MOBDMMPY6KN2YBA2&srno=b_10_230&otracker=browse&lid=LSTMOBDMMPY6KN2YBA2IUYQV3&fm=organic&iid=b9099648-745a-49e8-8fde-7ef9f6938423.MOBDMMPY6KN2YBA2.SEARCH,"Samsung Galaxy S4 Zoom (White, 8 GB)  (1.5 GB RAM)","?15,990",null,2330 Li-Ion Battery,null,null,White,1.5 GB,8 GB,1 Year for Mobile & 6 Months for Accessories,3.8,null,null,null,null,https://www.flipkart.com/samsung-galaxy-s4-zoom-white-8-gb/product-reviews/itmeuyd89g9ycxzg?pid=MOBDMMPY6KN2YBA2,samsung,41,970,30,940
171,https://www.flipkart.com/samsung-galaxy-j7-6-new-2016-edition-black-16-gb/p/itmeuyd8sxdssmdv?pid=MOBEG4XWMBDGZVEX&srno=b_6_142&otracker=browse&lid=LSTMOBEG4XWMBDGZVEX15B0YO&fm=organic&iid=b502e81a-8b5b-4d84-828f-33c1f1787b26.MOBEG4XWMBDGZVEX.SEARCH,"Samsung Galaxy J7 - 6 (New 2016 Edition) (Black, 16 GB)  (2 GB RAM)","?7,490",null,3300 Li-Ion Battery,null,null,Black,2 GB,16 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.3,4.5,4.8,4.4,4.7,https://www.flipkart.com/samsung-galaxy-j7-6-new-2016-edition-black-16-gb/product-reviews/itmeuyd8sxdssmdv?pid=MOBEG4XWMBDGZVEX,samsung,11797,800,200,600
172,https://www.flipkart.com/samsung-galaxy-j2-2016-silver-8-gb/p/itmeheuhdb5ws7hs?pid=MOBEHEUHZ7MHQZFX&srno=b_6_136&otracker=browse&lid=LSTMOBEHEUHZ7MHQZFXPILFRZ&fm=organic&iid=915725b8-f6d2-4322-8fd7-32bbb892aa0f.MOBEHEUHZ7MHQZFX.SEARCH,"Samsung Galaxy J2 - 2016 (Silver, 8 GB)  (1.5 GB RAM)","?7,200",null,2600 Li-Ion Battery,null,null,Silver,1.5 GB,8 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4,null,null,null,null,https://www.flipkart.com/samsung-galaxy-j2-2016-silver-8-gb/product-reviews/itmeheuhdb5ws7hs?pid=MOBEHEUHZ7MHQZFX,samsung,663,900,100,800
173,https://www.flipkart.com/samsung-galaxy-a7-midnight-black-16-gb/p/itme9f3j7bfk2g23?pid=MOBE4U8NGG6MXJWC&srno=b_8_187&otracker=browse&lid=LSTMOBE4U8NGG6MXJWCXJ7DLB&fm=organic&iid=4ae5eb70-b0c6-4723-ba9d-143c0d489a49.MOBE4U8NGG6MXJWC.SEARCH,"Samsung Galaxy A7 (Midnight Black, 16 GB)  (2 GB RAM)","?17,990",null,2600 Battery,null,null,Midnight Black,2 GB,16 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.1,null,null,null,null,https://www.flipkart.com/samsung-galaxy-a7-midnight-black-16-gb/product-reviews/itme9f3j7bfk2g23?pid=MOBE4U8NGG6MXJWC,samsung,139,950,50,900
174,https://www.flipkart.com/samsung-galaxy-j2-ace-gold-8-gb/p/itmeqcj7jmhzy98j?pid=MOBEQCJ7DM5NRTJC&srno=b_4_75&otracker=browse&lid=LSTMOBEQCJ7DM5NRTJCSU37CS&fm=organic&iid=63cf20e1-b6e8-406b-872a-cf274cca5644.MOBEQCJ7DM5NRTJC.SEARCH,"Samsung Galaxy J2 Ace (Gold, 8 GB)  (1.5 GB RAM)","?7,355",6-7 days,2600 Battery,ITIndia20SLP,2.8,Gold,1.5 GB,8 GB,1 Year for Mobile & 6 Months Accessories Warranty,4.1,null,null,null,null,https://www.flipkart.com/samsung-galaxy-j2-ace-gold-8-gb/product-reviews/itmeqcj7jmhzy98j?pid=MOBEQCJ7DM5NRTJC,samsung,206,610,390,220
175,https://www.flipkart.com/samsung-galaxy-folder-2-wine-red-16-gb/p/itmf6g52kbyatkyj?pid=MOBF6KZQ2XYTRGGV&srno=b_5_119&otracker=browse&lid=LSTMOBF6KZQ2XYTRGGVV2CV9B&fm=organic&iid=d19a17ea-9d5c-49f0-953b-b8c076b6e8e5.MOBF6KZQ2XYTRGGV.SEARCH,"Samsung Galaxy Folder 2 (Wine Red, 16 GB)  (2 GB RAM)","?16,400",null,1950 Battery,null,null,Wine Red,2 GB,16 GB,6 Months Warranty,3.3,null,null,null,null,,samsung,0,750,250,500
176,https://www.flipkart.com/samsung-galaxy-star-advance-white-4-gb/p/itme6jexuczvkmne?pid=MOBEYFC44EUDZ9TX&srno=b_9_210&otracker=browse&lid=LSTMOBEYFC44EUDZ9TXTULN14&fm=organic&iid=d587bfbe-0460-4c01-8186-f2d06de221a2.MOBEYFC44EUDZ9TX.SEARCH,"Samsung Galaxy Star Advance (White, 4 GB)  (512 MB RAM)","?4,999",null,1800 Battery,null,null,White,512 MB,4 GB,1 Year Manufacturer Warranty,3.7,null,null,null,null,https://www.flipkart.com/samsung-galaxy-star-advance-white-4-gb/product-reviews/itme6jexuczvkmne?pid=MOBEYFC44EUDZ9TX,samsung,48,810,190,620
177,https://www.flipkart.com/samsung-galaxy-j4-blue-32-gb/p/itmf64a4tpzecxus?pid=MOBF649RJHMTCNRV&srno=b_2_32&otracker=browse&lid=LSTMOBF649RJHMTCNRVOLM1YZ&fm=organic&iid=7ac14b23-7810-4829-a78f-f1ce67f75ae7.MOBF649RJHMTCNRV.SEARCH,"Samsung Galaxy J4 (Blue, 32 GB)  (3 GB RAM)","?11,299",7-8 days,3000 Battery,SAMobiles,null,Blue,3 GB,32 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2,null,null,null,null,https://www.flipkart.com/samsung-galaxy-j4-blue-32-gb/product-reviews/itmf64a4tpzecxus?pid=MOBF649RJHMTCNRV,samsung,24,710,290,420
178,https://www.flipkart.com/samsung-galaxy-core-prime-silver-8-gb/p/itmf6k35ndexsg94?pid=MOBE3YHYT95F2SYU&srno=b_9_198&otracker=browse&lid=LSTMOBE3YHYT95F2SYUWRODJE&fm=organic&iid=db17832c-172c-4751-a423-9337e620f6fb.MOBE3YHYT95F2SYU.SEARCH,"Samsung Galaxy Core Prime (Silver, 8 GB)  (1 GB RAM)","?6,969",null,2000 Battery,null,null,Silver,1 GB,8 GB,1 Year for Mobile & 6 Months for Accessories,4,null,null,null,null,https://www.flipkart.com/samsung-galaxy-core-prime-silver-8-gb/product-reviews/itmf6k35ndexsg94?pid=MOBE3YHYT95F2SYU,samsung,588,720,280,440
